,Date,Food_Price,Air_Temperature
128,2006-09,81.9,16.9
129,2006-10,81.6,12.14
130,2006-11,81.8,7.03
131,2006-12,82.2,4.43
132,2007-01,83.0,4.76
133,2007-02,82.9,3.94
134,2007-03,82.7,6.18
135,2007-04,83.7,11.52
136,2007-05,83.6,14.16
137,2007-06,83.7,17.38
138,2007-07,83.5,17.24
139,2007-08,83.7,16.86
140,2007-09,84.1,12.58
141,2007-10,85.6,8.35
142,2007-11,86.5,3.67
143,2007-12,87.1,1.59
144,2008-01,88.4,3.65
145,2008-02,88.4,3.72
146,2008-03,88.8,4.24
147,2008-04,89.1,7.64
148,2008-05,89.2,14.51
149,2008-06,89.2,16.94
150,2008-07,89.4,18.02
151,2008-08,89.0,17.38
152,2008-09,88.8,12.44
153,2008-10,89.0,9.09
154,2008-11,88.3,5.06
155,2008-12,88.9,1.06
156,2009-01,89.3,-2.16
157,2009-02,89.4,0.51
158,2009-03,88.9,4.3
159,2009-04,88.6,11.83
160,2009-05,88.1,13.62
161,2009-06,88.4,14.81
162,2009-07,87.3,18.01
163,2009-08,86.4,18.65
164,2009-09,86.1,14.69
165,2009-10,86.0,8.17
166,2009-11,86.4,7.38
167,2009-12,87.0,0.32
168,2010-01,88.1,-3.65
169,2010-02,88.3,-0.5
170,2010-03,89.1,4.2
171,2010-04,89.9,8.69
172,2010-05,89.3,10.43
173,2010-06,89.5,16.33
174,2010-07,89.6,20.33
175,2010-08,88.8,16.7
176,2010-09,88.7,12.39
177,2010-10,88.5,8.13
178,2010-11,89.3,4.76
179,2010-12,90.2,-3.66
180,2011-01,90.5,0.95
181,2011-02,91.2,0.93
182,2011-03,91.4,4.91
183,2011-04,91.4,11.59
184,2011-05,91.8,13.87
185,2011-06,91.3,16.54
186,2011-07,91.1,16.1
187,2011-08,90.8,17.72
188,2011-09,91.1,15.22
189,2011-10,91.3,9.39
190,2011-11,91.6,4.5
191,2011-12,92.2,3.9
192,2012-01,93.1,1.91
193,2012-02,94.3,-2.5
194,2012-03,94.7,6.94
195,2012-04,94.5,8.15
196,2012-05,94.0,14.21
197,2012-06,94.4,15.47
198,2012-07,93.8,17.39
199,2012-08,93.8,18.43
200,2012-09,93.7,13.63
201,2012-10,94.3,8.72
202,2012-11,95.5,5.2
203,2012-12,96.4,1.49
204,2013-01,97.3,0.2
205,2013-02,97.2,-0.72
206,2013-03,98.1,0.07
207,2013-04,98.2,8.1
208,2013-05,99.2,11.78
209,2013-06,99.4,15.66
210,2013-07,99.1,19.45
211,2013-08,98.1,17.93
212,2013-09,97.9,13.27
213,2013-10,98.0,10.64
214,2013-11,98.3,4.63
215,2013-12,100.0,3.56
216,2014-01,100.7,2.12
217,2014-02,100.6,4.34
218,2014-03,100.1,6.94
219,2014-04,99.8,10.77
220,2014-05,99.4,12.4
221,2014-06,99.3,16.09
222,2014-07,99.1,19.3
223,2014-08,98.5,15.96
224,2014-09,98.7,14.92
225,2014-10,98.6,11.88
226,2014-11,98.3,6.47
227,2014-12,98.7,2.73
228,2015-01,99.3,2.19
229,2015-02,100.1,0.72
230,2015-03,100.0,5.18
231,2015-04,100.8,8.42
232,2015-05,100.8,12.34
233,2015-06,100.1,15.82
234,2015-07,99.4,19.39
235,2015-08,99.1,19.87
236,2015-09,99.7,12.96
237,2015-10,100.3,8.38
238,2015-11,100.5,7.51
239,2015-12,100.0,6.49
240,2016-01,100.1,1.01
241,2016-02,100.9,3.33
242,2016-03,101.4,4.01
243,2016-04,101.6,7.89
244,2016-05,101.0,13.69
245,2016-06,100.5,16.99
246,2016-07,100.8,18.61
247,2016-08,100.2,17.72
248,2016-09,100.4,16.85
249,2016-10,100.4,8.49
250,2016-11,101.6,3.83
251,2016-12,102.8,2.16
252,2017-01,103.5,-2.15
253,2017-02,105.6,2.9
254,2017-03,103.7,7.2
255,2017-04,103.3,7.42
256,2017-05,103.2,14.13
257,2017-06,103.1,17.76
258,2017-07,103.4,18.06
259,2017-08,103.2,17.87
260,2017-09,103.8,12.79
261,2017-10,104.7,11.14
262,2017-11,104.9,5.11
263,2017-12,105.7,2.71
264,2018-01,106.5,3.72
265,2018-02,106.4,-1.87
266,2018-03,106.6,2.36
267,2018-04,106.7,12.32
268,2018-05,106.9,16.03
269,2018-06,106.5,17.73
270,2018-07,106.1,20.29
271,2018-08,105.8,19.91
272,2018-09,106.7,15.09
273,2018-10,106.6,10.72
274,2018-11,106.4,5.21
275,2018-12,106.8,3.9
276,2019-01,107.3,0.63
277,2019-02,107.9,3.95
278,2019-03,107.4,6.58
279,2019-04,107.4,9.62
280,2019-05,107.8,10.99
281,2019-06,108.0,19.78
282,2019-07,108.3,18.9
283,2019-08,108.5,19.06
284,2019-09,108.3,14.05
285,2019-10,107.9,10.81
286,2019-11,108.4,5.22
287,2019-12,109.0,3.75
288,2020-01,110.0,3.48
289,2020-02,111.6,5.29
290,2020-03,111.4,5.27
291,2020-04,112.6,10.35
292,2020-05,112.7,11.91
293,2020-06,112.5,16.89
294,2020-07,109.5,17.69
295,2020-08,109.2,19.95
296,2020-09,109.0,14.82
297,2020-10,109.4,10.21
298,2020-11,109.9,6.18
299,2020-12,109.5,3.08
300,2021-01,112.3,0.63
301,2021-02,113.2,1.71
302,2021-03,113.1,4.77
303,2021-04,114.5,6.02
304,2021-05,114.2,10.72
305,2021-06,113.8,18.98
306,2021-07,114.2,18.37
307,2021-08,114.2,16.4
308,2021-09,114.2,15.16
309,2021-10,114.2,9.63
310,2021-11,114.8,4.9
311,2021-12,116.0,2.58
312,2022-01,117.8,2.79
313,2022-02,119.1,4.47
314,2022-03,120.1,5.09
315,2022-04,124.2,7.75
316,2022-05,126.7,14.44
317,2022-06,128.0,18.33
318,2022-07,130.8,19.13
319,2022-08,132.9,20.23
320,2022-09,135.2,13.37
321,2022-10,136.9,12.52
322,2022-11,138.7,6.35
323,2022-12,139.8,1.8
324,2023-01,142.0,3.62
325,2023-02,145.6,3.21
326,2023-03,147.6,5.74
327,2023-04,146.5,7.53
328,2023-05,146.2,13.08
329,2023-06,146.0,18.56
330,2023-07,,18.72
