,Time,Precipitation (l/m²)
254,2017-03,57.0
255,2017-04,41.4
256,2017-05,59.6
257,2017-06,89.3
258,2017-07,132.4
259,2017-08,85.6
260,2017-09,66.3
261,2017-10,76.7
262,2017-11,81.5
263,2017-12,79.1
264,2018-01,101.7
265,2018-02,17.8
266,2018-03,50.9
267,2018-04,37.7
268,2018-05,52.0
269,2018-06,47.4
270,2018-07,40.0
271,2018-08,42.0
272,2018-09,44.2
273,2018-10,28.4
274,2018-11,20.2
275,2018-12,104.1
276,2019-01,81.8
277,2019-02,29.9
278,2019-03,74.7
279,2019-04,29.4
280,2019-05,78.6
281,2019-06,55.6
282,2019-07,56.0
283,2019-08,63.0
284,2019-09,64.5
285,2019-10,83.8
286,2019-11,58.9
287,2019-12,58.8
288,2020-01,40.5
289,2020-02,124.1
290,2020-03,50.9
291,2020-04,16.3
292,2020-05,38.4
293,2020-06,90.9
294,2020-07,51.8
295,2020-08,85.5
296,2020-09,50.0
297,2020-10,78.4
298,2020-11,20.7
299,2020-12,57.5
300,2021-01,80.2
301,2021-02,48.9
302,2021-03,46.0
303,2021-04,34.7
304,2021-05,94.9
305,2021-06,95.4
306,2021-07,107.2
307,2021-08,102.5
308,2021-09,35.3
309,2021-10,44.8
310,2021-11,49.7
311,2021-12,61.4
312,2022-01,58.2
313,2022-02,83.7
314,2022-03,15.0
315,2022-04,56.5
316,2022-05,47.0
317,2022-06,56.2
318,2022-07,37.8
319,2022-08,48.9
320,2022-09,100.0
321,2022-10,49.7
322,2022-11,48.9
323,2022-12,67.1
324,2023-01,69.4
325,2023-02,43.1
326,2023-03,90.4
327,2023-04,63.6
328,2023-05,42.7
329,2023-06,50.4
330,2023-07,97.0
